Product_Model,Category,Source_Page_URL,Image_Status,Match_Notes
"HWM 60-50 Automatic Dryer","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 80-60 Semi Automatic","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 80-1217 Semi Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 120-35 Semi Auto Single Tub","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 130-1217 GB Single Tub","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM-75AS Semi Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM-80-CS Twin Tub","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HTW 100-196G Twin Tub","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HTW 100-196E Twin Tub","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HMW100-1217 White","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 80-186 Twin Tub","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM-85-1269S6 Fully Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 100-1269 Fully Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","Search query failed: socket hang up"
"HWM 90-826 E Fully Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM 100-826 Fully Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM-110-B688S8 Fully Auto","Washing Machines","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWD-306 White Glass Door","Water Dispensers","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWD-306 Red Glass Door","Water Dispensers","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWD-308 Cabinet Dispenser","Water Dispensers","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HMW-20MPB 20L Solo Black","Microwave Ovens","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HWM-26MBH 25L Solo","Microwave Ovens","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HGL-25MXP9 25L Solo Black","Microwave Ovens","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"HGL-23200 23L Grill White","Microwave Ovens","N/A","UNMATCHED_VIA_GOOGLE","Search query failed: socket hang up"
"HGL-30100 30L Convection","Microwave Ovens","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
